,timestamp,header,text
139,2016-11-02 15:58:09,Tonight's starting line-ups,"Tyler Naquin has paid for his costly mistake in Game 6 ? and he?s out of the Indians line-up for tonight?s winner-takes-all showdown. Naquin, who let a fly ball turn into a two-run double in the first inning of Tuesday night?s loss, is out, and Rajai Davis is back in. 





























  Naquin and Chisenhall get into a mix-up. Photograph: David Richard/USA Today Sports


Carlos Santana will lead off for the Indians, followed by Jason Kipnis, Francisco Lindor, Mike Napoli and Jose Ramirez. Lonnie Chisenhall will hit sixth, with Davis seventh, Coco Crisp eighth and Roberto Perez catching and hitting ninth.
The Cubs, by contrast, are sticking with what works: they?ll use the same line-up that crushed the Indians 9-3 on Tuesday.
Dexter Fowler will lead off, followed by Kyle Schwarber, Kris Bryant and Anthony Rizzo. Ben Zobrist, who is hitting .391 in the series, will hit fifth. Addison Russell, who tied a World Series record with six RBIs in Game 6, will hit sixth, followed by Willson Contreras, Jason Heyward and Javier Baez.
The Cubs have managed just one run off Kluber in his two starts so far."
138,2016-11-02 16:11:46,,"If you?re watching tonight?s Game 7 to take your mind off the election, be sure to switch off during the commercials: Hillary Clinton and Donald Trump have bought last-minute ads to air during the game.
The Trump campaign has booked three commercial spots, a campaign spokesman has confirmed to CNN. And Hillary Clinton?s campaign has booked four spots, according to a source at Fox.
The market price for an ad during Game 7 exceeds $500,000, but the campaigns will be paying less, because broadcasters are legally required to give candidates the ?lowest unit rate? for ad time in the weeks before an election.
During Game 6 on Tuesday night, the Clinton campaign had two national ads. Trump didn?t have any, but the NRA did have one.
Fox, which is broadcasting the game nationally, expects Game 7 to be the network?s most-watched MLB game in 15 years, with an audience of about 30 million viewers."
137,2016-11-02 16:13:24,10) Memorable Game 7s: 1962,"Tonight marks the 38th Game 7 in World Series history. They haven?t all been classics, but many of these winner-take-all affairs have served as platforms for baseball?s most unforgettable moments. As we count down the hours before tonight?s first pitch, we?re looking back at the 10 most memorable Game 7s in the annals of the Fall Classic.
10) 1962 World Series | New York Yankees 1, San Francisco Giants 0
The Giants trailed 1-0 in the bottom of the ninth at Candlestick Park and were down to their final out, but they had runners at second and third with future Hall of Fame slugger Willie McCovey at the plate. That?s when McCovey ripped a line drive that surely would have driven in the championship-winning runs ? if not for Yankee second baseman Bobby Richardson, whose hair-trigger catch for the final out preserved Ralph Terry?s four-hit shutout.


Bryan Armen Graham 
(@BryanAGraham)
Charlie Brown laments Bobby Richardson's catch of Willie McCovey's liner for the final out of Game 7 of the 1962 World Series. pic.twitter.com/U4XgGUPiyK

November 2, 2016"
136,2016-11-02 16:17:45,,"Four hours before the start of the biggest World Series game in the recent history of the Cubs and Indians, and downtown Cleveland is strangely dead. Sidewalks that were packed at this time before Tuesday?s Game 6 are mostly empty. The East 4th St alley of bars that serve as a pre-game drinking spot for the baseball stadium and basketball arena just a couple blocks away was far from filled. At this point on Tuesday, those same bars were packed. The few fans that did gather were all wearing Cubs shirts and caps.
In fact, the vast majority of fans in downtown Cleveland this afternoon appear to be from Chicago. This was anticipated by locals, who figured that if the Cubs won Game 6 they would pour into town to celebrate what could be their first championship in 108 years. What is missing ? is Cleveland fans.





























  Chicago fan dressed appropriately. Photograph: Charlie Riedel/AP


It?s an odd sight: downtown Cleveland devoid of Cleveland fans. There is no lack of enthusiasm for the Indians in the city?s neighborhoods away from downtown. Shop windows are filled with Indians pictures and Indians pennants. Everybody, it seems, is wearing an Indians shirt. But for some reason that has not translated to the area around Progressive Field.
Certainly there has been much anecdotal evidence of enthusiastic drinking in anticipation of the team?s first title since 1948. Maybe fans are nursing hangovers. Or maybe they anticipate the doom known well to Cleveland fans, who have only this summer?s Cavaliers title to celebrate among their sports teams since the Browns won the NFL championship in 1964.
Even the 3.09 pm Green line train in from the east suburbs that was packed with baseball fans on Tuesday had just a handful of passengers today.
Weird."
135,2016-11-02 16:30:08,,"Looks nice in Cleveland at the moment:



MLB 
(@MLB)
That #BaseballSky. #Game7 pic.twitter.com/K2y8Nt5BXR

November 2, 2016"
134,2016-11-02 16:40:37,,"Indians center fielder Taylor Naquin is out of the starting line-up for tonight?s game ? but manager Terry Francona said it wasn?t a punishment for his error in Game 6.
Naquin let a fly ball drop between him and right fielder Lonnie Chisenhall in the first inning on Tuesday, a mistake that paved the way to Chicago?s 9-3 win over Cleveland. In the fourth inning, with Cleveland down 7-2, Naquin came up with the bases loaded, but struck out.
Francona said he feels Naquin is ?pressing a little bit. During the regular season you might kind of let him get through it, but with one game left and with [Corey] Kluber pitching, we?re trying to put a premium on catching the ball.?
Rajai Davis will start in center. With the prospect of facing lefties Aroldis Chapman and Jon Lester later on, Francona wanted the right-handed hitting Davis in the lineup.
?You can tell he?s pressing,? Francona said of Naquin, who is batting .143 in the series. ?It?s not punishment. It?s trying to win.?





























  Terry Francona: Naquin is ?pressing a little?. Photograph: Gene J. Puskar/AP"
133,2016-11-02 16:44:29,9) Memorable Game 7s: 1975,"Tonight marks the 38th Game 7 in World Series history. They haven?t all been classics, but many of these winner-take-all affairs have served as platforms for baseball?s most unforgettable moments. As we count down the hours before tonight?s first pitch, we?re looking back at the 10 most memorable Game 7s in the annals of the Fall Classic.
9) 1975 World Series | Cincinnati Reds 4, Boston Red Sox 3
Everyone remembers Game 6 ? the instant classic settled by Carlton Fisk?s 12th-inning walk-off home run that Robin Williams? Dr Sean Maguire skipped out on to go see about a girl ? but that only forced a seventh game the next day. The Red Sox struck first with three runs in the third and the end of the team?s 57-year championship drought seemed within reach. But Tony Perez?s two-run homer off the Green Monster closed it to 3-2 in the sixth, Pete Rose tied it with an RBI single in the seventh and Joe Morgan?s two-out base hit to center field in the ninth capped Boston?s misery ? and gave birth to the Big Red Machine."
132,2016-11-02 16:57:48,8) Memorable Game 7s: 1955,"Tonight marks the 38th Game 7 in World Series history. They haven?t all been classics, but many of these winner-take-all affairs have served as platforms for baseball?s most unforgettable moments. As we count down the hours before tonight?s first pitch, we?re looking back at the 10 most memorable Game 7s in the annals of the Fall Classic.
8) 1955 World Series | Brooklyn Dodgers 2, New York Yankees 0
Next year finally came for the hard-luck Dodgers, who saw off the Yankees in the World Series after coming up short against their crosstown rivals in 1947, 1949, 1952 and 1953. The Dodgers scratched out runs on an RBI single and sacrifice fly by Gil Hodges, but it would prove enough Johnny Podres scattered eight hits over nine shutout innings to capture the first championship in franchise history and their lone win in Brooklyn. The game is perhaps best remembered for defensive substitute Sandy Amor?s? game-saving catch in left field off the bat of Yogi Berra, which keyed a 7-6-3 double play that short-circuited the Yankees? biggest threat of the day."
131,2016-11-02 17:06:21,,"LeBron James has given his two cents worth on tonight?s game with a tweet to his hometown Indians. Although it kind of translates to ?as long as you try, I?m proud of you?. And as any of Napoleon?s soldiers from the ill-fated Russian campaign of 1812 will tell you - if they hadn?t frozen to death 200 years ago ? it?s the taking part that counts.


LeBron James 
(@KingJames)
Two greatest words in Sports ""Game 7"". Good luck to the boys tonight! Live in the moment & The game will play itself out. #RallyTogether

November 2, 2016"
130,2016-11-02 17:14:05,,"It?s just been announced that members of the string section of the Cleveland Orchestra will perform the Star-Spangled Banner before tonight?s game. Which is ... fine.
While the national anthem at the World Series isn?t necessarily the over-the-top production that you typically see at the Super Bowl, there have been more than a few memorable renditions over the years. Three of our favorites:
Marvin Gaye at Game 4 in 1968





Marvin Gaye performs the national anthem at Game 4 of the 1968 World Series.


The Jackson 5 at Game 1 in 1970





The Jackson 5 perform the national anthem at Game 1 of the 1970 World Series.


Paul Simon at Game 6 in 1986





Paul Simon performs the national anthem at Game 6 of the 1986 World Series."
129,2016-11-02 17:26:49,7) Memorable Game 7s: 2014,"Tonight marks the 38th Game 7 in World Series history. They haven?t all been classics, but many of these winner-take-all affairs have served as platforms for baseball?s most unforgettable moments. As we count down the hours before tonight?s first pitch, we?re looking back at the 10 most memorable Game 7s in the annals of the Fall Classic.
7) 2014 World Series | San Francisco Giants 3, Kansas City Royals 2
The Giants had won Game 1 on a standout performance by Madison Bumgarner, then Game 5 when the right-hander pitched the first complete-game shutout in more than a decade in World Series play. But when the Royals forced a seventh game with a 10-0 victory in Game 6, the Giants ace went above and beyond the call of duty on two days? rest. After Michael Morse?s broken-bat RBI single broke a 2-2 deadlock in the fourth, Bumgarner entered to protect the one-run lead. He?d go on to hold the Royals scoreless over the final five innings ? retiring 14 batters in succession during one stretch ? for the longest save in World Series history."
128,2016-11-02 17:28:43,,"Indians manager Terry Francona slept like a baby last night, apart from the bit where he dreamt someone had broken his ribs. And the bit where he finally woke up and found his glasses were smothered in peanut butter. 
?I had a nightmare that somebody broke my ribs,? he said before tonight?s games. Until he realized he had fallen asleep with the TV remote wedged under him. ?I had peanut butter on my glasses,? he added. ?It was a bad night, man.?
Francona did not clarify how the peanut butter left the jar and stuck itself to his glasses."
127,2016-11-02 17:39:15,,"And we have the scorecard from the last time the Cubs won the World Series. It would have set you back 10c or $2.67 in today?s money, according to the first website I could find that specializes in that kind of thing. If they?d known how long it would be until the next Cubs win, they could have got at least 11c for it.





























  1908 World Series scorecard. Photograph: Iconic Archive/Getty Images"
126,2016-11-02 17:53:15,,"The last surviving player from the 1945 World Series ? the Cubs? most recent appearance in the Fall Classic ? has been talking about his memories. He actually played for the team that beat the Cubs, the Detroit Tigers. But he says he?s pulling for Chicago tonight. Ed Mierkowicz is 92 now, and was a 21-year-old rookie when the game took place. What does he remember? Mainly being nervous: ?If I took my pants off, my knees would be shaking,? he told AP. ?I just went along with the flow.?
?It was exciting,? he added. ?In fact, it was so exciting, I don?t know what the hell was going on ? all the people going crazy.?
He also won a car in a raffle later that day. Not a bad day?s work all things considered."
125,2016-11-02 17:54:57,6) Memorable Game 7s: 1912,"Tonight marks the 38th Game 7 in World Series history. They haven?t all been classics, but many of these winner-take-all affairs have served as platforms for baseball?s most unforgettable moments. As we count down the hours before tonight?s first pitch, we?re looking back at the 10 most memorable Game 7s in the annals of the Fall Classic.
6) 1912 World Series | Boston Red Sox 3, New York Giants 2 (10 innings)
Technically speaking, this was Game 8 ? Game 2 at Fenway Park had been called for darkness ? but the teams were deadlocked at three wins apiece with the world championship on the table. They complete nine innings still knotted at 1-1 before the Giants broke through in the top of the 10th on Fred Merkle?s RBI single off Smokey Joe Wood. But the Red Sox ? no doubt aided by an easy fly ball by center fielder Fred Snodgrass that allowed leadoff batter Clyde Engle to reach second ? scratched out two runs against Hall of Fame hurler Christy Matthewson, who had pitched brilliantly to that point.



Bryan Armen Graham 
(@BryanAGraham)
Fenway Park's rookie season: Game 2 of the 1912 World Series. pic.twitter.com/0g2JaNEd0E

November 2, 2016"
124,2016-11-02 18:06:19,5) Memorable Game 7s: 1997,"Tonight marks the 38th Game 7 in World Series history. They haven?t all been classics, but many of these winner-take-all affairs have served as platforms for baseball?s most unforgettable moments. As we count down the hours before tonight?s first pitch, we?re looking back at the 10 most memorable Game 7s in the annals of the Fall Classic.
5) 1997 World Series | Florida Marlins 3, Cleveland Indians 2 (11 innings)
Here?s one that Indians fans of a certain age will no doubt be grappling with tonight. The last time Cleveland played in the World Series, they led 2-1 entering the bottom of the ninth of Game 7. But Jos? Mesa allowed singles by Mois?s Alou and Charles Johnson followed by a sacrifice fly by Craig Counsell that knotted the score at 2-2 and bought the Marlins new life in extra innings. With Cleveland?s Game 3 starter Charles Nagy having entered in relief, the Marlins loaded the bases in the bottom of the 11th ? thanks in part to a crucial error by second baseman Tony Fernandez on what might have been an inning-ending double play ? setting the stage for ?dgar Renter?a?s walkoff single to center."
123,2016-11-02 18:18:19,,"Charlie Sheen starred in Major League, in which he played a Cleveland Indians pitcher. Then Charlie Sheen did various things for a few years and got very rich. And then he did some Bad Things. But people mostly thought the Bad Things were entertaining or made them feel better as they hadn?t done those Bad Things. And then the Indians reached the World Series and he wanted to throw out the first pitch because he had been in Major League. But the Indians said no because they were going to let an actual real player do it. But then they felt bad and let him come to the game tonight. Hooray!



Charlie Sheen 
(@charliesheen)
FEAR NOT,""BELIEVE""LAND!!My bag is packed,and help is on the way!!?99?#GetMeVaughn pic.twitter.com/5jVTE1zKbX

November 2, 2016"
122,2016-11-02 18:19:56,Cleveland Indians,"Confirmation of those starting line-ups:
Cleveland Indians

Carlos Santana DH
Jason Kipnis 2B
Francisco Lindor SS
Mike Napoli 1B
Jose Ramirez 3B
Lonnie Chisenhall RF
Rajai Davis CF
Coco Crisp LF
Roberto Perez C

Starting pitcher: Corey Kluber
Chicago Cubs

Dexter Fowler CF
Kyle Schwarber DH
Kris Bryant 3B
Anthony Rizzo 1B
Ben Zobrist LF
Addison Russell SS
Willson Contreras C
Jason Heyward RF
Javier Baez 2B

Starting pitcher: Kyle Hendricks"
121,2016-11-02 18:40:11,4) Memorable Game 7s: 1924,"Tonight marks the 38th Game 7 in World Series history. They haven?t all been classics, but many of these winner-take-all affairs have served as platforms for baseball?s most unforgettable moments. As we count down the hours before tonight?s first pitch, we?re looking back at the 10 most memorable Game 7s in the annals of the Fall Classic.
4) 1924 World Series | Washington Senators 4, New York Giants 3 (12 innings)
Walter Johnson had already established himself as perhaps the greatest pitcher in baseball history ? a statement that stands today, incidentally ? but not until he was in the twilight of his career did the Big Train have the opportunity to pitch in the World Series. The 36-year-old right-hander lost both starts in Game 1 and Game 5, but was given a shot at redemption in Game 7 at Griffith Stadium after the Senators rallied from 3-1 down to tie the score in the bottom of the eighth. Johnson entered in the ninth and pitched four scoreless innings, earning the victory in relief after Earl McNeely?s championship-clinching RBI double in the bottom of the 12th."
120,2016-11-02 18:46:04,3) Memorable Game 7s: 2001,"Tonight marks the 38th Game 7 in World Series history. They haven?t all been classics, but many of these winner-take-all affairs have served as platforms for baseball?s most unforgettable moments. As we count down the hours before tonight?s first pitch, we?re looking back at the 10 most memorable Game 7s in the annals of the Fall Classic.
3) 2001 World Series | Arizona Diamondbacks 3, New York Yankees 2
A classic pitchers? duel between starters Curt Schilling and Roger Clemens (the AL Cy Young winner) was given even more juice when Randy Johnson (the NL Cy Young winner) entered in relief. Once Alfonso Soriano homered in the eighth to give New York a 2-1 lead, the outcome seemed but a handshake away. After all, the Yankees had Mariano Rivera waiting in the wings. But a two-inning save proved a bridge too far for the presumptive greatest closer ever as Rivera, who had struck out the side in the eighth, couldn?t work out of trouble in the ninth as Luis Gonzalez delivered the coup de gr?ce with an RBI blooper to center."
119,2016-11-02 18:48:04,,"This year, by the way, marks the first time the World Series and NBA Finals have gone to Game 7 in the same year since 1962."
118,2016-11-02 18:49:19,2) Memorable Game 7s: 1991,"Tonight marks the 38th Game 7 in World Series history. They haven?t all been classics, but many of these winner-take-all affairs have served as platforms for baseball?s most unforgettable moments. As we count down the hours before tonight?s first pitch, we?re looking back at the 10 most memorable Game 7s in the annals of the Fall Classic.
2) 1991 World Series | Minnesota Twins 1, Atlanta Braves 0 (10 innings)
The so-called Worst to First Series featured two teams that had finished in last place only a year earlier, a happening unprecedented in baseball history. What came next was one of the hardest fought and most highly charged Fall Classics ever played, with five games decided by one run, four coming down to the final at-bat and three going to extra innings. Game 7 ticked all those boxes as Jack Morris of the Twins and John Smoltz of the Braves engaged in a pitchers? duel for the ages. Only after Morris threw an incredible 10 shutout innings did pinch hitter Gene Larkin close the show with a walk-off single in the bottom of the 10th."
117,2016-11-02 18:55:32,1) Memorable Game 7s: 1960,"Tonight marks the 38th Game 7 in World Series history. They haven?t all been classics, but many of these winner-take-all affairs have served as platforms for baseball?s most unforgettable moments. As we count down the hours before tonight?s first pitch, we?re looking back at the 10 most memorable Game 7s in the annals of the Fall Classic.
1) 1960 World Series | Pittsburgh Pirates 10, New York Yankees 9
It was a bizarre World Series that saw the losing Yankees finish with more than twice as many runs on aggregate (55) than the winning Pirates (27), but you could hardly script a more exciting finale. The Pirates trailed 7-4 in the bottom of the eighth but responded with five runs, only to see the Yankees plate a pair to tie it at 9-9. Enter Bill Mazeroski, who won the game, and the championship, with the only walk-off home run ever in Game 7 of a World Series."
116,2016-11-02 19:18:32,,"A big night ahead...
David Lengel here...
If a certain iconic baseball broadcaster were writing this live blog, perhaps he would start off with ?Hello everybody and a very pleasant evening to you wherever you may be.? 
And actually, it?s much more than a pleasant evening, or morning or afternoon for baseball fans, and that?s because we?re about an hour away from what is unquestionably the most highly anticipated finish to a season in recent memory. 
Personally speaking, I?ve been jumping out of my skin all day long waiting for first pitch, waiting to watch what happens right along with what will be a mammoth global baseball audience. 
It?s perhaps less pleasant for fans of the Chicago Cubs and the Cleveland Indians: their supporters have been tortured for decades, and are agonizing about what may or may not happen right up until the very end of one of their age-old title droughts. They?ve spent the day playing out the game in their heads, wondering what these nine or more innings will ultimately yield. They?ve been speaking with friends and family, trying their best to keep calm over the past 24 hours. And they?ve been thinking about all of those no longer here, who watched their team try and fail to win a lone World Series title, year after year after year.
A Game 7 in the World Series brings along a wide range of emotions for fans of this sport, and of course, it brings closure. Tomorrow, the season will be over and one fan base will wake up in a world that they could have only dreamed of a day earlier.
The question is, will it be in Chicago or Cleveland?
And that reminds me, why not send in your predictions for what we hope will be nothing short of an epic finale. Tweet your thoughts over to @lengeldavid or david.lengel.freelance@theguardian.com - it would be great to have you all involved. So gear up, get your popcorn ready. First pitch is coming up shortly."
115,2016-11-02 19:38:15,,"Tito Francona
He is one of the more successful big game managers in recent history, and tonight, he?ll have the luxury of a reasonably rested big-game bullpen. The airwaves were buzzing all day long about a possible formula for Francona - four innings from starter Corey Kluber, three from Andrew Miller and two from Allen. That?s a best case scenario of course, and is likely if the Indians manage to get on top of Cubs starter Kyle Hendricks. 
Just a quick note about his benching of Tyler Naquin - in an era of cagey coaches and managers, it was refreshing to hear his candid comments, where he said that he was ?pressing a little bit. During the regular season you might kind of let him get through it, but with one game left and with [Corey] Kluber pitching, we?re trying to put a premium on catching the ball.?
But that?s just Tito, a tremendous managerial talent, who also is also cool enough let the world in on how he fell asleep eating pretzels and peanut butter last night, waking up now and then to take another bite."
