cst,header,text
2016-11-02T22:06:00Z,5) Memorable Game 7s: 1997,"Tonight marks the 38th Game 7 in World Series history. They haven?t all been classics, but many of these winner-take-all affairs have served as platforms for baseball?s most unforgettable moments. As we count down the hours before tonight?s first pitch, we?re looking back at the 10 most memorable Game 7s in the annals of the Fall Classic. 5) 1997 World Series | Florida Marlins 3, Cleveland Indians 2 (11 innings) Here?s one that Indians fans of a certain age will no doubt be grappling with tonight. The last time Cleveland played in the World Series, they led 2-1 entering the bottom of the ninth of Game 7. But Jos? Mesa allowed singles by Mois?s Alou and Charles Johnson followed by a sacrifice fly by Craig Counsell that knotted the score at 2-2 and bought the Marlins new life in extra innings. With Cleveland?s Game 3 starter Charles Nagy having entered in relief, the Marlins loaded the bases in the bottom of the 11th ? thanks in part to a crucial error by second baseman Tony Fernandez on what might have been an inning-ending double play ? setting the stage for ?dgar Renter?a?s walkoff single to center."
2016-11-02T22:40:00Z,4) Memorable Game 7s: 1924,"Tonight marks the 38th Game 7 in World Series history. They haven?t all been classics, but many of these winner-take-all affairs have served as platforms for baseball?s most unforgettable moments. As we count down the hours before tonight?s first pitch, we?re looking back at the 10 most memorable Game 7s in the annals of the Fall Classic. 4) 1924 World Series | Washington Senators 4, New York Giants 3 (12 innings) Walter Johnson had already established himself as perhaps the greatest pitcher in baseball history ? a statement that stands today, incidentally ? but not until he was in the twilight of his career did the Big Train have the opportunity to pitch in the World Series. The 36-year-old right-hander lost both starts in Game 1 and Game 5, but was given a shot at redemption in Game 7 at Griffith Stadium after the Senators rallied from 3-1 down to tie the score in the bottom of the eighth. Johnson entered in the ninth and pitched four scoreless innings, earning the victory in relief after Earl McNeely?s championship-clinching RBI double in the bottom of the 12th."
2016-11-02T22:46:00Z,3) Memorable Game 7s: 2001,"Tonight marks the 38th Game 7 in World Series history. They haven?t all been classics, but many of these winner-take-all affairs have served as platforms for baseball?s most unforgettable moments. As we count down the hours before tonight?s first pitch, we?re looking back at the 10 most memorable Game 7s in the annals of the Fall Classic. 3) 2001 World Series | Arizona Diamondbacks 3, New York Yankees 2 A classic pitchers? duel between starters Curt Schilling and Roger Clemens (the AL Cy Young winner) was given even more juice when Randy Johnson (the NL Cy Young winner) entered in relief. Once Alfonso Soriano homered in the eighth to give New York a 2-1 lead, the outcome seemed but a handshake away. After all, the Yankees had Mariano Rivera waiting in the wings. But a two-inning save proved a bridge too far for the presumptive greatest closer ever as Rivera, who had struck out the side in the eighth, couldn?t work out of trouble in the ninth as Luis Gonzalez delivered the coup de gr?ce with an RBI blooper to center."
2016-11-02T22:49:00Z,2) Memorable Game 7s: 1991,"Tonight marks the 38th Game 7 in World Series history. They haven?t all been classics, but many of these winner-take-all affairs have served as platforms for baseball?s most unforgettable moments. As we count down the hours before tonight?s first pitch, we?re looking back at the 10 most memorable Game 7s in the annals of the Fall Classic. 2) 1991 World Series | Minnesota Twins 1, Atlanta Braves 0 (10 innings) The so-called Worst to First Series featured two teams that had finished in last place only a year earlier, a happening unprecedented in baseball history. What came next was one of the hardest fought and most highly charged Fall Classics ever played, with five games decided by one run, four coming down to the final at-bat and three going to extra innings. Game 7 ticked all those boxes as Jack Morris of the Twins and John Smoltz of the Braves engaged in a pitchers? duel for the ages. Only after Morris threw an incredible 10 shutout innings did pinch hitter Gene Larkin close the show with a walk-off single in the bottom of the 10th."
2016-11-02T22:56:00Z,1) Memorable Game 7s: 1960,"Tonight marks the 38th Game 7 in World Series history. They haven?t all been classics, but many of these winner-take-all affairs have served as platforms for baseball?s most unforgettable moments. As we count down the hours before tonight?s first pitch, we?re looking back at the 10 most memorable Game 7s in the annals of the Fall Classic. 1) 1960 World Series | Pittsburgh Pirates 10, New York Yankees 9 It was a bizarre World Series that saw the losing Yankees finish with more than twice as many runs on aggregate (55) than the winning Pirates (27), but you could hardly script a more exciting finale. The Pirates trailed 7-4 in the bottom of the eighth but responded with five runs, only to see the Yankees plate a pair to tie it at 9-9. Enter Bill Mazeroski, who won the game, and the championship, with the only walk-off home run ever in Game 7 of a World Series."
2016-11-03T00:03:00Z,First pitch!,Dexter Fowler takes a strike on the outer half of the plate from Corey Kluber and Game 7 is finally underway!
2016-11-03T00:06:00Z,"HOME RUN! Cubs 1-0 Indians, top of the first","MLB  (@MLB) .@DexterFowler out here making #Game7 history. pic.twitter.com/n7MwVPjxMt  November 3, 2016   Dexter Fowler hits a deep drive to center field, Rajai Davis at the wall, leaping and he can?t get it - that ball is UP AND OVER THE WALL! The Cubs have the first ever leadoff home run in the history of World Series Game 7 baseball! Chicago strike first!                                Dexter Fowler sends the ball into the crowd. Photograph: Tommy Gilligan/USA Today Sports"
2016-11-03T00:50:00Z,"RUN! Cubs 1-1 Indians, bottom of the third","Santana, a line drive over the extended arm of Anthony Rizzo - that ball is in right field - here comes Crisp and we are tied in Game 7!"
2016-11-03T00:54:00Z,CHALLENGE!,"Kipnis, an all-star, a big left-hand batter, hits a bouncer to the left side - Russell has it at short, tosses to Baez who has it, then drops it! The umpire calls out, but they?ll look at this. Did Baez drop it in the transfer, meaning Santana would be out, or did he just plain drop it? I think it?s the latter."
2016-11-03T00:56:00Z,CALL OVERTURNED!,"Javier Baez loses sight of the ball. Photograph: Tommy Gilligan/USA Today Sports   So that?s an error on Javier Baez, his second of the evening, and that means the Indians have runners on first and second with the hear of the order coming up with one man down.  Cleveland must take their chances - and this is certainly one of them. Here?s Lindor, and it?s already 2-0... Cubs pitching coach Chris Bosio comes out mid-count - that?s how vital this inning is."
2016-11-03T01:13:00Z,"RUN! Cubs 2-1 Indians, top of the 4th","MLB  (@MLB) SAFE! Under the tag! #Game7 pic.twitter.com/ausiWLqXCQ  November 3, 2016   Shallow fly ball - Davis has it, Bryant tags, there?s a play a the plate - SAFE! Cubs take the lead! It was extremely close - Davis seemed to hesitate just a touch and that may have made the difference.  By the way, Zobrist is heads up, tagging up on the play, so he?s at second with one out.  Contreras is next with that big runner ion scoring position."
2016-11-03T01:15:00Z,"RUN! Cubs 3-1 Indians, top of the 4th","Contreras, fly ball to center, Davis is running, turns his back and runs some more - that ball is down AND OFF THE WALL! HEre comes Zobrist and the Cubs take a two run lead! So much for my wanting to keep Kluber in - Andrew Miller warms in the Cleveland bullpen."
2016-11-03T01:30:00Z,"HOME RUN! Cubs 4-1 Indians, top of the 5th","Javier Baez makes up for his two errors by blasting a home run to right center field! Hugs all around in the dugout, and that chases Kluber - who should not have never EVER come out in the fifth. Right?"
2016-11-03T01:43:00Z,"RUN! Cubs 5-1 Indians, top of the 5th","The Indians feel the heat. Photograph: Ken Blaze/USA Today Sports   Rizzo rakes a hit to right - Bryant is busting it, rounding second, third - HERE COMES BRYANT - and he?s SAFE! Tremendous base running! And a huge, tack on run for the Cubs who are able capitalize on a two-out walk!"
2016-11-03T02:01:00Z,"RUNS! Cubs 5-3 Indians, bottom of the 5th","Lester?s pitch is in the dirt, gets away from Ross and the ball bangs off the back stop - Santana scores and HERE COMES KIPNIS - HE?S SAFE! It?s a two-run wild pitch by Lester, and Cleveland are right back in it!  Ross, who was hit on the chin and shaken up, grimaces, while Maddon swallows hard! Out of nowhere it?s a two-run ballgame. Wow!"
2016-11-03T02:10:00Z,"HOME RUN! Cubs 6-3 Indians, top of the 6th","The retiring Ross, at the center of the action a half-inning ago hits a long drive to center - Davis is back, AT THE WALL AND IT?S GONE! Chicago get a run back as Grandpa goes deep! And if Maddon isn?t totally out of his mind, he?s not even in the game! Has Miller finally burned out before our eyes? And why is he still pitching?"
2016-11-03T02:41:00Z,Seventh inning stretch!,"Get up, shake it out, wherever you are, and enjoy this version of Take Me Out to the Ball Game from...1908.      Vintage."
2016-11-03T03:12:00Z,"RUN! Cubs 6-4 Indians, bottom of the 8th","Five o?clock lightning! Guyer strikes, a double in the right field gap - Ramirez comes around to score and it?s a two-run ballgame! The Tribe are a blast away from tying this game!  Here?s comes Rajai Davis."
2016-11-03T03:17:00Z,"HOME RUN! Cubs 6-6 Indians, bottom of the 8th","MLB  (@MLB) Rajai. Davis. Cleveland. Legend. #Game7 pic.twitter.com/PptzTVwcu5  November 3, 2016   Rajai Davis - a line drive rocket to left has enough! IT?S OUT OF HERE! CLEVELAND HAVE HUNG A THREE-SPOT IN THE EIGHTH! We are tied - this is happening!!!! And now Crisp has a hit!  The champ is cut and bleeding - Chapman, is flaming out, and curses are creeping up on Chicago!!                                Rajai Davis rounds the bases after his two-run homer levels the game. Photograph: Ezra Shaw/Getty Images"
2016-11-03T03:36:00Z,Confusion,"The umps get together - but ultimately, it?s Heyward at first because the slide is deemed legal.  That means one out, a runner on, Baez coming up, Allen is heading out, Shaw is coming in.  I feel like I?ve been waiting for him my entire life."
2016-11-03T04:14:00Z,"WE'RE BACK! Cubs 6-6 Indians, top of the 10th","Schwarber steps in and promptly takes Shaw to right field, beating the shift for a lead-off base hit! He?s removed for a pinch runner after his third hit of the ninth.  Albert Almora Jr is now standing at first and Bryant is at the plate!"
2016-11-03T04:21:00Z,"RUN! Cubs 7-6 Indians, top of the 10th","He wastes a pitch and then goes opposite field! Base hit, here comes Almora around to score - Cubs lead!"
2016-11-03T04:24:00Z,"RUN! Cubs 8-6 Indians, top of the 10th",YES THEY CAN! Montero delivers a pinch hit RBI knock and the Cubs are suddenly up two!
2016-11-03T04:45:00Z,"RUN! Cubs 8-7 Indians, bottom of the 10th","Davis - a line drive base hit to center, Guyer, who had taken second on defensive indifference comes around to score! We have ourselves a one-run ballgame!"
2016-11-03T04:49:00Z,CUBS WIN!,The Chicago Cubs have won the World Series for the first time since 1908!
2016-11-03T04:51:00Z,"Cubs 8-7 Indians, Final","Mike Martinez? grounder lands into the glove of Kris Bryant - he fires to first in time and THE IMPOSSIBLE HAS FINALLY HAPPENED! After 108 years, countless heartbreak, and generations of fans living without witnessing their team win a title, the drought is over!"
2016-11-03T05:06:00Z,It happened!,"It wouldn?t have been the same if Chicago steamrolled over Cleveland.  It needed to be hard earned, they needed to be pressed to the limit. The Cubs needed to climb out of a 3-1 hole, because if you?re going to undo 108 years of history, it has to come in a unique way. They had to blow a 5-1 lead. They had to watch their nearly flawless closer melt down. They had to bring on a pair of back-end roster relievers to pull it out.  It?s not that the trauma validates the achievement - a championship is a championship, as a sweep or in seven. But for this franchise, the lovable losers, it had to be tedious, heart-stopping and dramatic for the drought to end in a way that felt right  And it did.  Congratulations to the Cubs, and the Cleveland Indians, who put baseball on top and turned October and November a into in festival of the game."
2016-11-03T05:12:00Z,It's over!,"The Cubs will wake up as champions for the first time in more than a century, and Cleveland fans, who should be proud of this ballclub, will begin to pick up the pieces. The season is over, winter is coming and months will pass before the carousel starts up for another round. It?s been a historic playoffs - thank for following it with us. Stay tuned for more World Series coverage, but for now, thanks for reading, and wherever you are, good morning, good afternoon and goodnight.      Cubs win first World Series title since 1908 after beating Indians in Game 7           Read more"
